PADRAO;NOME_CIDADE;COD_OPERADORA;ID_REGISTRO_EMISSAO;ORIGEM;TIPO;VENCTO;EMISSAO;ARQUIVO;QTD_PAGE_NET;QTDE_PAGE_EMBRATEL;QTDE_PAGE_CLARO;QTDE_PAGE_TOTAL;QTD_COB_NET;QTDE_COB_EMBRATEL;QTDE_COB_CLARO;QTDE_COB_TOTAL;VALOR_NET;VALOR_EMBRATEL;VALOR_CLARO;VALOR_TOTAL
0;SANTOS;004;675259;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC00415022020_675259.rem;393;0;18;411;96;0;18;114;13.868,43;0,00;3.467,04;17.335,47
0;GOIANIA;010;675201;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC01015022020_675201.rem;963;0;29;992;346;0;29;375;37.432,52;0,00;4.962,47;42.394,99
0;ANAPOLIS;015;675236;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC01515022020_675236.rem;106;0;2;108;39;0;2;41;3.279,09;0,00;89,99;3.369,08
0;RIO DE JANEIRO;038;675388;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC03815022020_675388.rem;1398;0;8;1406;486;0;8;494;51.816,82;0,00;1.679,55;53.496,37
0;RIO DE JANEIRO;038;675389;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC03815022020_675389.rem;790;0;46;836;283;0;46;329;45.261,18;0,00;5.716,75;50.977,93
0;RIO DE JANEIRO;038;675390;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC03815022020_675390.rem;925;0;48;973;227;0;48;275;40.066,59;0,00;9.463,96;49.530,55
0;RIO DE JANEIRO;038;675391;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC03815022020_675391.rem;83;0;1;84;30;0;1;31;4.048,84;0,00;186,46;4.235,30
0;BRASILIA;040;675453;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC04015022020_675453.rem;1147;0;13;1160;404;0;13;417;43.281,29;0,00;1.520,03;44.801,32
0;BRASILIA;040;675454;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC04015022020_675454.rem;424;0;43;467;154;0;43;197;23.999,66;0,00;7.020,56;31.020,22
0;NITEROI;228;675199;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;EC22815022020_675199.rem;220;0;10;230;74;0;10;84;10.611,02;0,00;1.686,54;12.297,56
0;SANTOS;004;675265;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERX00415022020_675265.rem;7;0;1;8;2;0;1;3;502,14;0,00;54,99;557,13
0;GOIANIA;010;675209;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERX01015022020_675209.rem;19;0;3;22;6;0;3;9;424,48;0,00;749,43;1.173,91
0;ANAPOLIS;015;675242;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERX01515022020_675242.rem;6;0;1;7;2;0;1;3;82,68;0,00;39,49;122,17
0;RIO DE JANEIRO;038;675573;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERX03815022020_675573.rem;30;0;5;35;11;0;5;16;1.151,91;0,00;612,24;1.764,15
0;RIO DE JANEIRO;038;675574;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERX03815022020_675574.rem;31;0;4;35;13;0;4;17;2.179,61;0,00;666,29;2.845,90
0;BRASILIA;040;675474;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERX04015022020_675474.rem;39;0;6;45;11;0;6;17;2.004,45;0,00;585,68;2.590,13
0;NITEROI;228;675225;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERX22815022020_675225.rem;9;0;2;11;3;0;2;5;229,70;0,00;215,33;445,03
0;SANTOS;004;675266;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERZ00415022020_675266.rem;15;0;3;18;4;0;3;7;519,30;0,00;264,86;784,16
0;GOIANIA;010;675210;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERZ01015022020_675210.rem;21;0;1;22;7;0;1;8;84,00;0,00;44,49;128,49
0;ANAPOLIS;015;675243;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERZ01515022020_675243.rem;3;0;0;3;1;0;0;1;0,00;0,00;0,00;0,00
0;RIO DE JANEIRO;038;675575;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERZ03815022020_675575.rem;51;0;14;65;18;0;14;32;3.740,19;0,00;2.081,40;5.821,59
0;BRASILIA;040;675475;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERZ04015022020_675475.rem;23;0;6;29;8;0;6;14;1.778,49;0,00;1.654,74;3.433,23
0;NITEROI;228;675226;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ERZ22815022020_675226.rem;7;0;0;7;2;0;0;2;0,00;0,00;0,00;0,00
0;SANTOS;004;675260;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER1C00415022020_675260.rem;5;0;0;5;1;0;0;1;62,32;0,00;0,00;62,32
0;GOIANIA;010;675200;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER1C01015022020_675200.rem;27;0;0;27;10;0;0;10;1.665,01;0,00;0,00;1.665,01
0;ANAPOLIS;015;675237;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER1C01515022020_675237.rem;8;0;0;8;3;0;0;3;587,23;0,00;0,00;587,23
0;RIO DE JANEIRO;038;675392;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER1C03815022020_675392.rem;62;0;0;62;21;0;0;21;3.401,43;0,00;0,00;3.401,43
0;RIO DE JANEIRO;038;675393;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER1C03815022020_675393.rem;23;0;0;23;8;0;0;8;1.415,31;0,00;0,00;1.415,31
0;BRASILIA;040;675455;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER1C04015022020_675455.rem;26;0;0;26;8;0;0;8;1.459,06;0,00;0,00;1.459,06
0;NITEROI;228;675220;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER1C22815022020_675220.rem;8;0;0;8;3;0;0;3;661,67;0,00;0,00;661,67
0;SANTOS;004;675249;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER100415022020_675249.rem;1463;0;0;1463;399;0;0;399;65.522,65;0,00;0,00;65.522,65
0;GOIANIA;010;675185;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER101015022020_675185.rem;1985;0;1;1986;721;0;1;722;100.417,87;0,00;79,99;100.497,86
0;ANAPOLIS;015;675231;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER101515022020_675231.rem;343;0;0;343;129;0;0;129;14.321,77;0,00;0,00;14.321,77
0;RIO DE JANEIRO;038;675312;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER103815022020_675312.rem;2653;0;0;2653;950;0;0;950;149.106,87;0,00;0,00;149.106,87
0;RIO DE JANEIRO;038;675313;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER103815022020_675313.rem;693;0;0;693;279;0;0;279;42.735,56;0,00;0,00;42.735,56
0;RIO DE JANEIRO;038;675314;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER103815022020_675314.rem;2421;0;0;2421;1000;0;0;1000;179.204,70;0,00;0,00;179.204,70
0;RIO DE JANEIRO;038;675315;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER103815022020_675315.rem;2548;0;0;2548;1000;0;0;1000;157.736,91;0,00;0,00;157.736,91
0;RIO DE JANEIRO;038;675316;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER103815022020_675316.rem;1207;0;0;1207;341;0;0;341;77.047,84;0,00;0,00;77.047,84
0;BRASILIA;040;675428;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER104015022020_675428.rem;1727;0;0;1727;682;0;0;682;105.498,42;0,00;0,00;105.498,42
0;BRASILIA;040;675429;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER104015022020_675429.rem;1473;0;0;1473;575;0;0;575;99.420,96;0,00;0,00;99.420,96
0;NITEROI;228;675213;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER122815022020_675213.rem;572;0;0;572;203;0;0;203;33.027,26;0,00;0,00;33.027,26
0;SANTOS;004;675261;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER3C00415022020_675261.rem;4;0;0;4;1;0;0;1;212,84;0,00;0,00;212,84
0;GOIANIA;010;675202;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER3C01015022020_675202.rem;15;0;0;15;5;0;0;5;702,52;0,00;0,00;702,52
0;ANAPOLIS;015;675238;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER3C01515022020_675238.rem;10;0;0;10;4;0;0;4;299,67;0,00;0,00;299,67
0;RIO DE JANEIRO;038;675394;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER3C03815022020_675394.rem;11;0;0;11;3;0;0;3;668,58;0,00;0,00;668,58
0;RIO DE JANEIRO;038;675395;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER3C03815022020_675395.rem;53;0;0;53;19;0;0;19;2.966,08;0,00;0,00;2.966,08
0;BRASILIA;040;675456;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER3C04015022020_675456.rem;29;0;0;29;12;0;0;12;1.924,23;0,00;0,00;1.924,23
0;NITEROI;228;675221;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER3C22815022020_675221.rem;8;0;0;8;3;0;0;3;571,59;0,00;0,00;571,59
0;SANTOS;004;675250;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER300415022020_675250.rem;1305;0;0;1305;351;0;0;351;59.080,04;0,00;0,00;59.080,04
0;GOIANIA;010;675186;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER301015022020_675186.rem;1457;0;0;1457;541;0;0;541;78.863,42;0,00;0,00;78.863,42
0;ANAPOLIS;015;675232;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER301515022020_675232.rem;262;0;0;262;101;0;0;101;11.154,02;0,00;0,00;11.154,02
0;RIO DE JANEIRO;038;675317;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER303815022020_675317.rem;3857;0;0;3857;1462;0;0;1462;228.152,23;0,00;0,00;228.152,23
0;RIO DE JANEIRO;038;675318;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER303815022020_675318.rem;252;0;0;252;97;0;0;97;18.351,20;0,00;0,00;18.351,20
0;RIO DE JANEIRO;038;675319;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER303815022020_675319.rem;499;0;0;499;210;0;0;210;32.520,15;0,00;0,00;32.520,15
0;RIO DE JANEIRO;038;675320;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER303815022020_675320.rem;2369;0;0;2369;1000;0;0;1000;178.607,98;0,00;0,00;178.607,98
0;RIO DE JANEIRO;038;675321;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER303815022020_675321.rem;680;0;0;680;194;0;0;194;51.656,25;0,00;0,00;51.656,25
0;BRASILIA;040;675430;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER304015022020_675430.rem;1209;0;0;1209;443;0;0;443;66.276,30;0,00;0,00;66.276,30
0;BRASILIA;040;675431;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER304015022020_675431.rem;1126;0;0;1126;437;0;0;437;77.532,08;0,00;0,00;77.532,08
0;NITEROI;228;675214;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ER322815022020_675214.rem;313;0;0;313;120;0;0;120;20.602,50;0,00;0,00;20.602,50
0;SANTOS;004;675264;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC00415022020_675264.rem;7479;1441;1835;10755;1850;1354;1763;4967;395.406,42;33.080,31;224.521,32;653.008,05
0;GOIANIA;010;675205;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC01015022020_675205.rem;2688;750;973;4411;923;625;901;2449;181.278,03;17.897,13;111.019,36;310.194,52
0;GOIANIA;010;675206;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC01015022020_675206.rem;2752;667;980;4399;920;501;903;2324;149.123,70;15.148,74;83.326,36;247.598,80
0;GOIANIA;010;675207;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC01015022020_675207.rem;2607;735;1013;4355;896;573;900;2369;158.091,08;15.875,35;104.641,94;278.608,37
0;GOIANIA;010;675208;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC01015022020_675208.rem;1561;446;561;2568;537;375;513;1425;108.395,02;11.286,45;64.796,73;184.478,20
0;ANAPOLIS;015;675241;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC01515022020_675241.rem;1077;272;408;1757;400;225;390;1015;60.684,30;5.818,67;32.199,54;98.702,51
0;RIO DE JANEIRO;038;675401;Primeira Via-PrintHouse;BOLETO;15/02/2020;29/01/2020;ETC03815022020_675401.rem;3062;718;964;4744;1004;637;929;2570;190.247,93;14.622,04;85.698,27;290.568,24
